OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,bioBuffWidth,adjOCosts,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID,radial
175,599.6413651,4242.300006,93_10_1,2.223334551,1.047848105,156.129364,509.2541809,78,266.4467468,100,1776.311646,7.514870644,87.59938049,1.026891112,0.293397456,58.51356697,0.006617251,131.0002441,11.79864454,1452,726,0.003976563,54.69664955,109393,49.22698402,0.000187897,422.5761108,775.7009277,0.215054214,0.582060754,3.171621561,8.584237099,108,070801030406,F070801030406_391,24
176,599.3670767,4241.449138,450_18_1,2.138329029,1.047637939,156.098053,509.1520386,70,239.0709839,100,1593.806519,7.227551937,84.25016022,1.026685238,0.293338627,21.9910275,0.002486947,149.6996307,13.34373951,623,311,0.001703459,28.67139603,57342,25.80425612,9.84937E-05,395.1690369,748.2230225,0.501923025,1.270640016,6.049314022,15.31410313,108,070801030301,F070801030301_110,16
177,596.9216251,4240.80783,163_7_1,2.191888094,1.04747951,156.0744476,509.0750427,82,280.0117798,100,1866.745239,7.408581734,86.36038971,1.026529908,0.293294251,141.9852088,0.016056989,131.0004679,11.7986606,3523,1760,0.009640153,399.962325,799925,359.9660963,0.001373975,436.0862427,789.086792,0.088678665,0.24777627,0.433580965,1.211464763,108,070801030407,F070801030407_335,16
178,596.9008965,4235.94813,498_5_2,2.099765301,1.046279192,155.8955994,508.4916992,91,310.3889771,100,2069.259766,7.097206593,82.73075104,1.025353551,0.29295817,200.0000072,0.022617834,131.0020655,11.79877307,4960,2480,0.013583852,215.3174924,430635,193.7857466,0.000739672,466.2845764,818.8806763,0.06286113,0.188017979,0.804473996,2.406186104,108,070802060704,F070802060704_556,32
179,596.4954143,4235.692002,423_8_1,2.160670996,1.046215892,155.8861694,508.4609375,78,266.0317688,100,1773.545166,7.303068161,85.13043976,1.025291562,0.292940438,20.38444471,0.00230526,131.0010529,11.79870176,506,254,0.001391249,28.67135116,57342,25.80421685,9.84936E-05,421.9179382,774.4926758,0.613725066,1.661094189,6.041112423,16.35073662,108,070801030303,F070801030303_774,8
180,568.8100568,4232.566193,84_16_1,2.14040637,1.045443892,155.7711334,508.0857239,79,269.2436218,100,1794.95752,7.234573364,84.33200836,1.02453506,0.292724282,72.38594246,0.008186066,136.666153,12.24028015,1819,909,0.00497892,60.40438032,120809,54.36394274,0.000207505,425.0147705,777.3293457,0.17136538,0.467563003,2.865339041,7.817953587,104,070801030406,F070801030406_416,24
181,593.6241682,4220.917551,46_5_1,2.043480635,1.042566657,155.3424377,506.6874084,69,234.5147552,100,1563.431641,6.906964779,80.51313782,1.021715283,0.291918665,199.9999995,0.022617833,135.2389325,12.1253912,5211,2607,0.014279476,97.81342537,195627,88.03208363,0.000336015,389.8571777,741.2021484,0.059586667,0.149542451,1.764611602,4.428580761,104,070801030405,F070801030405_124,32
182,594.2055526,4220.359928,450_15_2,2.306549072,1.042428851,155.3218994,506.6204224,60,203.8990784,100,1359.327148,7.796135902,90.8780365,1.021580219,0.291880071,33.93533051,0.003837718,135.2491531,9.451398462,849,425,0.002327878,23.16745567,46336,20.85070992,7.95863E-05,359.2209778,710.5195313,0.365463287,0.845225811,7.449237823,17.22823715,108,070801030301,F070801030301_249,16
183,569.2395529,4220.344359,660_2_2,2.097648621,1.042425036,155.3213348,506.6185608,78,265.0678406,100,1767.118896,7.090052128,82.64735413,1.021576524,0.291878998,21.44390392,0.002425073,131.0051956,11.79899406,532,266,0.001456978,9.317133904,18634,8.385420799,3.20068E-05,420.3891602,771.6864014,0.583914816,1.580410361,18.52278328,50.13334274,104,070801030601,F070801030601_474,32
184,591.3073384,4217.665163,184_9_2,2.12538743,1.041763306,155.2227325,506.2969666,92,312.4456482,100,2082.970947,7.18380928,83.74026489,1.020928025,0.291693717,23.18576685,0.002622059,130.9995728,6.474298656,571,286,0.001566525,64.474617,128949,58.02715683,0.000221487,467.668396,818.7426147,0.542736828,1.635204196,2.675001621,8.059474945,108,070802060602,F070802060602_148,24
185,596.4929971,4217.501793,440_2_2,2.110794783,1.041722894,155.2167053,506.2773132,70,237.7211609,100,1584.807739,7.134486198,83.16531372,1.020888448,0.291682422,74.99747148,0.008481402,141.9559733,12.68419902,2010,1006,0.005510224,71.51293177,143026,64.36163757,0.000245666,392.9378662,743.9984741,0.154290959,0.390594304,2.411633968,6.105156422,108,070801030303,F070801030303_54,8
186,595.7714681,4216.982748,128_34_1,2.231836796,1.041594744,155.1976166,506.2150574,78,264.856781,100,1765.711914,7.543608189,87.93437195,1.020762801,0.29164654,42.12331282,0.00476369,149.5115204,13.3387537,1244,622,0.003406918,112.9620658,225924,101.6658561,0.000388054,420.0543823,771.0718384,0.24951385,0.675328612,1.526546121,4.131715298,108,070801030406,F070801030406_522,16
187,593.7901415,4211.428763,93_17_2,2.079281807,1.040222883,154.9932098,505.5483093,78,264.5078735,100,1763.385864,7.027972698,81.92370605,1.019418478,0.291262418,118.3531256,0.013384456,139.924242,12.50733066,3017,1510,0.008270813,58.36838223,116736,52.53154443,0.000200511,419.5010986,770.0561523,0.102644511,0.277815282,2.950478792,7.985699177,108,070801030406,F070801030406_424,24
188,599.9071913,4211.102468,515_10_2,2.147871971,1.040142298,154.9812012,505.5091553,92,311.959198,100,2079.728027,7.25980711,84.62615204,1.019339442,0.291239858,,,,,,,,37.55754924,75116,33.80179387,0.00012902,466.9403992,817.4683838,,,4.584999084,13.81407166,108,070802060603,F070802060603_275,24
189,594.9309537,4209.042528,594_12_2,2.097970486,1.039633512,154.9053955,505.2619019,7,23.72438431,100,158.1625671,7.09114027,82.66003418,1.01884079,0.291097373,63.96114624,0.007233313,158.9546254,14.1270593,1905,952,0.005214446,21.18398997,42367,19.06559098,7.27725E-05,178.629776,528.9862671,0.162715748,0.187636316,8.124867439,9.369223595,108,070802060804,F070802060802_276,32
190,599.3378219,4205.46202,450_18_2,2.138329029,1.038749099,154.7736206,504.8320618,70,237.0421295,100,1580.280884,7.227551937,84.25016022,1.017974138,0.290849745,41.73513233,0.004719791,152.7213694,13.58537006,1243,621,0.00340144,51.43326718,102866,46.28994121,0.000176687,391.8157349,741.8742065,0.249232888,0.630943239,3.343569279,8.464382172,108,070801030301,F070801030301_110,16
191,591.1449136,4202.093249,396_9_2,2.116322517,1.037917018,154.6496429,504.4276733,75,253.7703857,100,1691.802612,7.153170109,83.38311005,1.017158628,0.290616751,92.82409585,0.0104974,136.6652374,12.24021339,2402,1201,0.006578309,29.19542459,58391,26.27588269,0.000100294,408.4200439,758.1980591,0.128767401,0.340066642,5.885611534,15.54353237,108,070801030603,F070801030603_187,24
192,593.4203364,4201.710721,152_6_1,2.054311275,1.037822604,154.6355743,504.3817749,86,290.9637756,100,1939.758545,6.943572044,80.93986511,1.017066121,0.290590316,28.4877336,0.003221654,158.5795695,14.0905625,845,423,0.002316923,68.97128085,137942,62.07415418,0.000236934,445.5993652,795.3455811,0.365568727,1.053426385,2.49114275,7.178500652,108,070801030407,F070801030407_681,16
193,591.6289335,4198.585168,463_6_2,2.18290782,1.037050486,154.5205231,504.0065308,86,290.747467,100,1938.316406,7.378228664,86.00656891,1.0163095,0.29037413,68.04812789,0.007695506,141.6717656,12.64258909,1789,894,0.004896759,48.47960162,96959,43.63164282,0.00016654,445.2680054,794.7540283,0.172841743,0.49806264,3.541478395,10.20516205,108,070801030301,F070801030301_200,24
194,591.3334511,4198.511151,588_16_2,2.212760925,1.037032247,154.517807,503.9976807,10,33.80722046,100,225.3814697,7.479131699,87.1827774,1.016291618,0.290369034,22.16602665,0.002506737,138.0822029,12.32700157,577,287,0.001572002,36.88745388,73775,33.198709,0.000126718,188.3250275,537.8049316,0.538389564,0.656184793,4.654331684,5.672661304,108,070801010602,F070801010602_453,24
195,585.5889174,4198.269988,166_57_1,2.179485559,1.036972642,154.5089264,503.968689,78,263.6812744,100,1757.875122,7.366661072,85.87173462,1.016233206,0.290352345,38.69728838,0.004376244,145.7337392,12.99202061,995,497,0.002722248,38.62966387,77260,34.7666972,0.000132703,418.1901855,767.6499634,0.310883164,0.841428936,4.444164753,12.02847004,108,070802060406,F070802060406_116,32
196,593.4493274,4192.561571,483_20_1,2.227163315,1.035562754,154.2988434,503.2835083,75,253.1947174,100,1687.964844,7.527812004,87.75023651,1.014851451,0.289957583,23.79927561,0.00269144,140.6333008,12.54955482,601,300,0.001643208,32.75379986,65508,29.4784199,0.000112518,407.4935608,756.4782104,0.514329493,1.358311892,5.234298229,13.82345295,108,070801010403,F070801010403_26,32
197,595.895132,4191.163499,723_86_2,2.150027275,1.035217404,154.2473907,503.1156616,78,263.2349548,100,1754.899658,7.267092228,84.71107483,1.014513016,0.289860874,84.8981068,0.009601056,145.5211372,12.92524076,2321,1161,0.006359214,38.97113154,77943,35.07401827,0.000133876,417.4823608,766.3505859,0.132857352,0.359588593,4.397768021,11.90289497,108,070801010405,F070801010405_162,32
198,588.3305471,4189.82402,498_7_1,2.170569897,1.034886479,154.1980896,502.954834,78,263.1509399,100,1754.3396,7.336526394,85.52045441,1.014188766,0.289768219,35.65457445,0.004032146,130.9992905,11.79857731,884,442,0.002420993,10.61735275,21235,9.555617854,3.64734E-05,417.3490295,766.1057739,0.348864466,0.94422859,16.13690376,43.67577744,108,070802060704,F070802060704_482,32
199,590.2873528,4179.650054,680_21_2,2.008504868,1.032373548,153.8236542,501.733551,79,265.8769531,100,1772.513062,6.788746357,79.13509369,1.011726022,0.289064586,123.9994667,0.014022996,140.5701023,12.56929376,3226,1614,0.008840458,204.9269863,409853,184.4342926,0.000703978,419.7006226,767.6104736,0.09530586,0.260037571,0.834029555,2.275610447,108,070801030407,F070801030407_658,16
200,591.1156908,4177.313824,499_5_2,2.174902678,1.031796455,153.7376709,501.453064,78,262.3654175,100,1749.102783,7.351171017,85.69116211,1.011160493,0.288902998,42.4118765,0.004796324,130.9998055,11.79861379,1052,526,0.002881091,28.44955987,56899,25.60460415,9.77317E-05,416.1030884,763.8184814,0.292276949,0.791070521,6.004297733,16.25110435,108,070802060704,F070802060704_482,32
201,591.7530061,4176.847431,496_13_1,2.086820126,1.031681299,153.72052,501.3971252,78,262.3357544,100,1748.905029,7.053452015,82.22071075,1.011047721,0.288870752,41.07474321,0.004645108,142.3348033,12.68213272,1113,556,0.003045412,28.88434052,57768,25.99590755,9.92253E-05,416.0562744,763.7329102,0.276475757,0.748302639,5.913258553,16.00468445,108,070802060502,F070802060502_422,16
202,588.9731087,4175.406059,34_4_1,2.053176403,1.03132534,153.6674805,501.2241211,74,248.7961731,100,1658.641113,6.939736366,80.89514923,1.010698795,0.288771093,44.17989504,0.004996267,134.1706292,12.16086333,1281,641,0.003510987,16.81093489,33621,15.12984159,5.775E-05,402.4636536,750.0202637,0.239730865,0.627868414,10.15658188,26.60065269,104,070801030403,F070801030403_160,32
203,588.6696218,4174.83857,137_6_2,2.198845863,1.03118515,153.6465912,501.1559753,79,265.5714111,100,1770.476074,7.432098866,86.63452911,1.010561466,0.288731843,200,0.022617833,130.9995384,10.61541784,4591,2295,0.01257054,396.7209554,793442,357.0488589,0.00136284,419.2180176,766.727417,0.066948406,0.18266581,0.43032372,1.174119473,108,070802060602,F070802060602_56,32
204,586.6944308,4173.061513,458_64_2,2.179242849,1.030746222,153.581192,500.9426575,77,258.737793,100,1724.918579,7.365840912,85.86216736,1.01013124,0.288608938,199.9999976,0.022617833,135.5333405,10.30853675,4200,2101,0.011507932,300.7787733,601558,270.7008946,0.001033254,412.3189697,759.6804199,0.073099092,0.196248919,0.567346454,1.523153305,108,070802060801,F070802060801_93,24
205,588.1327456,4172.769743,425_24_2,2.100291491,1.0306741,153.5704346,500.9076233,70,235.1996918,100,1567.997925,7.098985195,82.75148773,1.010060668,0.288588762,48.09453177,0.005438971,137.8004425,12.32869663,1249,626,0.003428827,55.08960545,110180,49.58064604,0.000189247,388.7701416,736.1072998,0.245320186,0.621038556,3.097386837,7.84116745,108,070801030302,F070801030302_24,24
206,587.7171372,4170.266263,425_8_1,2.025299549,1.030055761,153.478302,500.6070862,82,275.3544922,100,1835.696655,6.84551239,79.79679871,1.009454608,0.288415611,111.2881315,0.012585482,140.3086177,12.53774588,2919,1458,0.00798599,115.6454926,231291,104.0809445,0.000397273,428.8327942,775.9615479,0.105266325,0.294124007,1.474605203,4.120185375,108,070801030302,F070801030302_81,24
207,588.457616,4164.493779,399_6_2,2.15743804,1.028630018,153.2658691,499.9141846,92,308.5067139,100,2056.711426,7.292140484,85.00305939,1.008057475,0.288016409,200.0000007,0.022617833,131.0001297,11.79863663,4962,2481,0.013589329,183.4429548,366886,165.0986583,0.000630175,461.772583,808.4208984,0.061775845,0.18612358,0.928328991,2.796949387,108,070802060601,F070802060601_134,16
208,587.4912469,4163.880592,496_32_1,2.07450366,1.028478503,153.2433014,499.8405457,86,288.3441467,100,1922.294312,7.011822224,81.73544312,1.00790894,0.28797397,50.15101338,0.005671536,139.5821969,12.49046803,1356,678,0.00371365,41.9348858,83870,37.74139729,0.000144057,441.5874634,788.1846924,0.226022571,0.651308954,4.060350418,11.7003479,108,070802060502,F070802060502_294,8
209,588.6412362,4162.512428,483_6_1,2.08196497,1.028140545,153.1929474,499.6763,71,237.9731293,100,1586.487549,7.037041664,82.02941895,1.007577777,0.287879348,200.000005,0.022617834,147.8461082,13.12362576,5360,2681,0.014684801,204.3330247,408667,183.8997248,0.000701937,391.1660767,737.6494141,0.057140227,0.145903051,0.833024323,2.127061844,108,070801010403,F070801010403_39,32
210,586.3796377,4161.782885,533_15_1,2.153650522,1.02796042,153.1661072,499.5887756,84,281.4966736,100,1876.644531,7.279338837,84.85382843,1.007401228,0.287828922,57.6907959,0.006524204,131.0005188,11.79866409,1432,716,0.003921789,20.98314476,41966,18.88483047,7.20826E-05,434.6627808,781.0854492,0.213919148,0.607070923,8.110536575,23.01650429,108,070802060501,F070802060501_225,16
211,584.8040313,4161.182741,27_7_1,2.07796979,1.027812123,153.1440125,499.5166931,62,208.3791046,100,1389.194092,7.023538113,81.87200928,1.007255912,0.287787408,199.9999977,0.022617833,138.6103879,10.99376405,5197,2598,0.01423018,448.8999285,897799,404.0099332,0.001542089,361.5231323,707.895813,0.058946885,0.139154404,0.37906003,0.89483726,104,070801030202,F070801030202_83,32
212,588.1879573,4160.889215,443_2_1,1.935852647,1.027739644,153.1332092,499.4814758,78,261.3336487,100,1742.224365,6.543181896,76.27259064,1.007184863,0.287767112,63.67227602,0.007200645,137.7998657,12.33958371,1666,833,0.004562641,79.48334408,158967,71.53500843,0.000273046,414.4668579,760.8151245,0.18383339,0.497559249,2.140675068,5.793902397,108,070801030303,F070801030303_741,8
213,591.1671344,4160.28626,464_1_1,2.205914736,1.027590752,153.1110229,499.4091187,73,244.5458221,100,1630.30542,7.455991745,86.91304016,1.007038951,0.287725419,26.04255942,0.002945131,130.999588,11.79859829,646,323,0.001769187,38.42985503,76860,34.58686919,0.000132017,397.6568604,743.9549561,0.474027932,1.231135845,4.426854134,11.49733639,108,070801030303,F070801030303_237,8
214,587.4668269,4158.166916,559_15_2,2.078551292,1.027067184,153.0330048,499.1546631,64,214.2872467,100,1428.581665,7.025503159,81.89492035,1.006525874,0.287578821,25.45335007,0.002878498,130.9997177,8.249071558,623,311,0.001703459,16.69931841,33398,15.0293861,5.73665E-05,367.3202515,713.4418945,0.492067546,1.18109405,10.18225288,24.44013596,108,070802060501,F070802060501_73,16
215,586.1957272,4155.175508,396_19_2,2.03995657,1.026328325,152.9229279,498.7955627,76,254.2828979,100,1695.21936,6.895053387,80.37429047,1.005801797,0.287371933,41.86515382,0.004734495,134.3979614,12.06349583,1102,550,0.003012548,16.20213108,32404,14.58191773,5.56586E-05,407.2058105,753.0784912,0.278041691,0.740374207,10.48716164,27.92539406,108,070801030603,F070801030603_190,24
216,586.8013242,4151.432672,425_51_2,2.041686058,1.025403857,152.7851715,498.346283,70,233.9970856,100,1559.980591,6.900898933,80.44242859,1.004895806,0.28711307,66.74508935,0.007548147,130.9979248,11.79848118,1656,828,0.004535254,127.4217435,254843,114.6795713,0.000437727,386.7822571,732.3433838,0.18452315,0.467128336,1.332278848,3.372721434,108,070801030302,F070801030302_19,24
217,585.9509025,4150.632806,396_14_1,2.062488317,1.025206327,152.7557373,498.2502747,78,260.6894531,100,1737.929688,6.97121048,81.26203918,1.00470221,0.287057757,200.0000005,0.022617833,131.0010071,11.79869866,4961,2482,0.013594806,223.1226035,446245,200.810341,0.000766485,413.4451904,758.9396973,0.06154542,0.166577429,0.76069659,2.058883905,108,070801030603,F070801030603_42,24
218,585.5315099,4147.893877,550_19_1,2.033038855,1.024529815,152.6549377,497.9214783,64,213.7579041,100,1425.052734,6.8716712,80.10173035,1.004039168,0.286868334,57.27207522,0.006476851,140.3914228,11.12360971,1450,725,0.003971086,55.06288594,110126,49.55659807,0.000189155,366.4128418,711.6793823,0.210558534,0.505397022,3.080415964,7.393825531,108,070801010301,F070801010301_345,24
219,581.3304762,4147.358224,845_96_1,2.230853081,1.024397492,152.6352234,497.8571777,92,307.2372742,100,2048.248535,7.540283203,87.89561462,1.003909588,0.28683129,32.04363459,0.003623788,135.2497673,12.12988472,799,399,0.002185466,36.18761659,72375,32.56885481,0.000124314,459.8724976,805.0944824,0.382544428,1.152562618,4.68653965,14.12000847,108,070802060302,F070802060302_371,32
220,576.7715034,4146.404145,699_67_1,2.047778845,1.024161816,152.6001129,497.7426453,78,260.4238586,100,1736.159058,6.921492577,80.68248749,1.00367856,0.286765307,200.0000026,0.022617834,135.2495861,12.12170136,4994,2497,0.013676967,257.8559,515712,232.0703056,0.000885802,413.0239868,758.1665039,0.06111338,0.16540809,0.657559812,1.779736519,108,070802060406,F070802060406_111,32
221,588.963297,4142.018088,194_23_1,2.118737221,1.023078442,152.4386902,497.2161255,68,226.7959747,100,1511.973145,7.161331654,83.4782486,1.002616882,0.286461949,93.07203302,0.010525439,148.6797974,13.234198,2504,1251,0.006852177,210.5758,421150,189.5182179,0.000723383,379.2346802,724.012085,0.121853471,0.30314523,0.804348469,2.001045942,108,070801030408,F070801030408_126,8
222,582.272941,4141.190689,814_33_1,2.058026552,1.022874117,152.4082489,497.1168213,54,167.330368,100,1115.535767,6.956129551,81.08624268,1.002416611,0.286404759,199.9999997,0.022617833,130.9997498,11.79860992,4961,2480,0.013583852,42.21234013,84426,37.99110584,0.00014501,319.7386169,664.4472046,0.061454941,0.128926858,4.01168251,8.416144371,108,070801030409,F070801030409_385,16
223,584.7164367,4138.077097,108_1_1,2.088923931,1.022105098,152.2936554,496.7430725,48,159.9388885,100,1066.259277,7.060563087,82.30360413,1.00166297,0.286189437,200.0000009,0.022617833,133.5400422,10.98168683,4670,2335,0.012789635,52.87566632,105752,47.58809972,0.000181642,312.2325439,656.6819458,0.065222122,0.133718431,3.200246572,6.56114769,104,070801030404,F070801030404_30,24
224,582.8013353,4137.871615,576_8_1,2.148704529,1.022054315,152.286087,496.7183838,67,223.2368469,100,1488.245605,7.262621403,84.65895844,1.001613259,0.286175221,27.36389589,0.00309456,131.0018005,11.79875437,679,340,0.001862302,25.62599945,51252,23.06339979,8.8032E-05,375.5229492,719.9552002,0.447900265,1.104479313,6.60293293,16.28220177,108,070801010602,F070801010602_10,24
225,589.844903,4136.845352,389_12_2,2.250346661,1.021800756,152.2483063,496.5951538,86,286.4718323,100,1909.812256,7.606171608,88.66365814,1.001364708,0.286104202,48.9859848,0.005539784,130.9999084,11.79862118,1215,608,0.003330235,68.6120491,137224,61.75084305,0.0002357,438.7201538,783.0670166,0.250408411,0.721579194,2.465525866,7.104682922,108,070802060601,F070802060601_24,24
226,583.4892166,4130.483466,194_25_2,2.038127422,1.020229459,152.0141907,495.8315125,75,249.4460754,100,1662.973877,6.888870716,80.30222321,0.999824882,0.28566426,39.44357681,0.004460641,158.199707,14.05360031,1166,583,0.003193301,40.57003403,81140,36.51303101,0.000139369,401.4602661,745.2775879,0.26074475,0.68861109,4.163286209,10.99498558,108,070801030408,F070801030408_139,8
227,579.9790846,4125.678739,483_13_1,2.014240265,1.019042611,151.8373566,495.2546997,70,232.5453644,100,1550.30249,6.808132172,79.36106873,0.998661757,0.285331935,23.48268723,0.002655638,149.7003098,13.27263689,661,330,0.001807529,40.05392623,80108,36.04853559,0.000137596,384.3827209,727.8000488,0.460113198,1.164796114,4.212025642,10.66292191,108,070801010403,F070801010403_48,32
228,575.7389712,4123.39818,525_12_2,2.115194321,1.018479347,151.753418,494.980957,80,265.6188965,100,1770.792603,7.149356842,83.33865356,0.998109758,0.285174221,42.65115154,0.004823383,131.0014877,11.79873252,1058,530,0.002903001,66.05246732,132104,59.44721887,0.000226907,417.3723145,760.5998535,0.286327213,0.787494957,2.552742004,7.020888805,108,070802060502,F070802060502_61,16
229,583.7116017,4122.555823,425_20_2,1.995768905,1.018271327,151.7224274,494.8798523,78,258.9258423,100,1726.172241,6.745698929,78.63329315,0.99790591,0.285115957,199.9999982,0.022617833,137.3666849,11.67410238,5299,2648,0.014504048,146.542972,293085,131.888675,0.000503413,410.6482544,753.8056641,0.057296988,0.15507865,1.150382519,3.113597631,108,070801030302,F070801030302_223,16
230,585.6191466,4121.151185,424_12_2,2.230397224,1.017924309,151.6707153,494.7112122,78,258.8377991,100,1725.585327,7.538742542,87.8776474,0.997565806,0.285018802,191.7788041,0.021688105,131.0004272,11.79865766,4758,2379,0.013030638,235.9702098,471941,212.3731905,0.000810619,410.5085144,753.5490112,0.063753977,0.172555074,0.714170754,1.932958245,108,070801030303,F070801030303_731,8
231,588.6092375,4117.64796,481_38_1,2.078492403,1.017059088,151.5418091,494.2907104,92,305.0363464,100,2033.575684,7.025304317,81.89260101,0.99671793,0.284776539,200.000001,0.022617833,135.7225774,12.19286855,4980,2491,0.013644103,116.9836681,233968,105.2852985,0.000401869,456.5781555,799.3270264,0.060835734,0.183291107,1.439344406,4.336580276,108,070802060603,F070802060603_200,24
232,581.1131082,4116.403047,44_15_2,2.300668001,1.016751528,151.4959717,494.1412354,76,251.9103546,100,1679.402344,7.776257992,90.64631653,0.996416509,0.28469044,26.05047313,0.002946026,131.0007121,11.79867776,646,324,0.001774664,17.02425825,34049,15.32183248,5.84828E-05,403.406311,746.0515747,0.467580169,1.245081186,9.887588501,26.32885551,104,070801030401,F070801030401_468,32
233,579.497448,4116.14499,432_4_2,1.991673112,1.01668787,151.486496,494.1102905,79,261.837616,100,1745.584106,6.731854916,78.47192383,0.996354103,0.284672618,53.95295095,0.006101494,130.9998271,11.79861546,1338,669,0.003664354,20.79822683,41596,18.71840394,7.14473E-05,413.3240967,755.947876,0.226437211,0.61782378,8.092917442,22.0811615,108,070801030606,F070801030606_69,32
234,582.0106473,4114.599952,544_1_2,2.062474251,1.016306162,151.4296112,493.9248047,70,231.9210663,100,1546.140381,6.971162796,81.26148224,0.995980024,0.284565717,51.59688919,0.005835049,151.9678802,13.54513121,1521,761,0.004168271,37.34166399,74683,33.60749718,0.000128278,383.3506775,725.8458862,0.198987663,0.503745973,4.505828381,11.40670109,108,070801010301,F070801010301_201,24
235,583.9618909,4113.199806,103_11_2,2.15615201,1.015960336,151.3780975,493.7567139,78,258.3384094,100,1722.256104,7.287793636,84.95239258,0.995641112,0.284468889,29.81614281,0.003371883,133.8325704,12.00853252,742,371,0.0020321,27.68217911,55365,24.91396198,9.50955E-05,409.7164917,752.0950928,0.408027232,1.104357123,6.076034546,16.44525719,108,070801030406,F070801030406_344,24
236,580.036544,4113.167669,559_16_1,2.018369675,1.015952468,151.3769226,493.7528992,79,265.0811768,100,1767.207886,6.822089672,79.52376556,0.995633423,0.284466684,131.2220292,0.01483979,140.4451074,12.5032924,3432,1716,0.009399149,322.3823266,644765,290.1441007,0.001107468,416.4580994,758.8341064,0.088214993,0.242691204,0.521730125,1.435349226,108,070802060501,F070802060501_233,16
237,578.4525738,4112.112663,425_52_2,1.989130259,1.015691876,151.338089,493.6262512,70,231.7801819,100,1545.201172,6.723260403,78.37173462,0.995378017,0.284393728,158.1507714,0.017885139,135.2495743,11.12874277,3605,1803,0.009875679,223.2392282,446478,200.9153016,0.000766885,383.1182861,725.4064331,0.083936818,0.212489337,0.753243208,1.906864643,108,070801030302,F070801030302_23,24
238,582.5229929,4111.974059,475_2_1,2.086019278,1.015657544,151.3329773,493.6095581,86,284.7497559,100,1898.331665,7.05074501,82.18916321,0.9953444,0.284384102,113.901947,0.012881076,133.8329366,12.00856336,2887,1444,0.007909307,55.10577202,110212,49.59519482,0.000189303,436.0827332,778.359314,0.10480123,0.30199635,3.051363707,8.792842865,108,070801030301,F070801030301_301,16
239,583.208694,4111.593499,33_1_1,2.013002872,1.015563607,151.318985,493.5639038,65,215.1977234,100,1434.651489,6.803949833,79.31231689,0.995252311,0.284357816,200.0000029,0.022617834,131.0005035,11.79866295,4962,2482,0.013594806,65.15777904,130315,58.64200175,0.000223834,366.5167236,708.7615967,0.060966555,0.147669911,2.580385685,6.250072002,104,070801030403,F070801030403_166,32
240,581.7138448,4109.936533,115_20_2,2.000248432,1.015154362,151.2579956,493.3650208,79,261.4425964,100,1742.950684,6.760839462,78.80979156,0.994851291,0.284243226,199.9999979,0.022617833,149.2738597,13.28162877,5460,2729,0.014947714,162.016732,324034,145.8150575,0.00055657,412.700592,754.8076172,0.055426162,0.151227772,1.037327647,2.830301523,108,070801030406,F070801030406_237,16
241,580.3362404,4105.073672,415_4_2,2.023937225,1.013953209,151.0790253,492.78125,89,294.1885376,100,1961.256958,6.840908051,79.74312592,0.993674159,0.283906907,31.46836278,0.003558731,130.9985657,11.79852676,781,391,0.002141648,58.25006407,116500,52.42505765,0.000200104,445.2675781,786.9697876,0.386391371,1.1387918,2.881809473,8.493411064,108,070802060601,F070802060601_155,16
242,576.2723552,4105.065607,593_11_2,2.202127457,1.013951182,151.0787201,492.7802734,69,228.078186,100,1520.52124,7.443190575,86.76382446,0.993672132,0.283906341,22.26309836,0.002517715,130.9989548,11.79855347,552,276,0.001511751,9.136287034,18272,8.222658247,3.13855E-05,379.1569214,720.8584595,0.547386646,1.373757005,18.37346458,46.11123276,108,070802060802,F070802060802_57,24
243,580.3523108,4103.106187,27_16_1,2.027501345,1.013467193,151.0066071,492.5450439,71,234.5771179,100,1563.847412,6.852954388,79.88355255,0.993197858,0.2837708,109.2309549,0.012352838,130.9999466,11.7986238,2710,1355,0.007421822,179.7054644,359411,161.7349162,0.000617335,385.5837402,727.1221924,0.111443989,0.284563661,0.933667302,2.384047508,104,070801030202,F070801030202_84,32
244,576.5364274,4101.637183,186_28_1,2.127059221,1.013104439,150.9525604,492.3687439,82,270.822113,100,1805.480713,7.189460278,83.80613708,0.992842376,0.283669233,29.33986002,0.00331802,145.4499512,12.94133782,824,413,0.002262149,25.72862148,51458,23.15576008,8.83845E-05,421.7746582,763.1908569,0.365502566,1.021246195,6.519006729,18.2146759,108,070801030407,F070801030407_315,16
245,581.9098791,4101.21815,549_12_1,2.147335768,1.013000846,150.9371185,492.3184204,69,227.8634186,100,1519.089478,7.257995129,84.60502625,0.99274081,0.283640236,153.1282408,0.017317145,135.7225444,12.19286839,4077,2039,0.011168336,145.2986703,290597,130.7688066,0.000499139,378.8005371,720.1818237,0.074025072,0.185777605,1.154228806,2.896719456,108,070801010301,F070801010301_289,24
